id,key,type,name,state,county_fips,geometry
1,,state,Alabama,AL,,
2,,state,Alaska,AK,,
3,,state,Arizona,AZ,,
4,,state,Arkansas,AR,,
5,,state,California,CA,,
6,,state,Colorado,CO,,
7,,state,Connecticut,CT,,
8,,state,Delaware,DE,,
9,,state,Florida,FL,,
10,,state,Georgia,GA,,
11,,state,Hawaii,HI,,
12,,state,Idaho,ID,,
13,,state,Illinois,IL,,
14,,state,Indiana,IN,,
15,,state,Iowa,IA,,
16,,state,Kansas,KS,,
17,,state,Kentucky,KY,,
18,,state,Louisiana,LA,,
19,,state,Maine,ME,,
20,,state,Maryland,MD,,
21,,state,Massachusetts,MA,,
22,,state,Michigan,MI,,
23,,state,Minnesota,MN,,
24,,state,Mississippi,MS,,
25,,state,Missouri,MO,,
26,,state,Montana,MT,,
27,,state,Nebraska,NE,,
28,,state,Nevada,NV,,
29,,state,New Hampshire,NH,,
30,,state,New Jersey,NJ,,
31,,state,New Mexico,NM,,
32,,state,New York,NY,,
33,,state,North Carolina,NC,,
34,,state,North Dakota,ND,,
35,,state,Ohio,OH,,
36,,state,Oklahoma,OK,,
37,,state,Oregon,OR,,
38,,state,Pennsylvania,PA,,
39,,state,Rhode Island,RI,,
40,,state,South Carolina,SC,,
41,,state,South Dakota,SD,,
42,,state,Tennessee,TN,,
43,,state,Texas,TX,,
44,,state,Utah,UT,,
45,,state,Vermont,VT,,
46,,state,Virginia,VA,,
47,,state,Washington,WA,,
48,,state,West Virginia,WV,,
49,,state,Wisconsin,WI,,
50,,state,Wyoming,WY,,
51,,state,American Samoa,AS,,
52,,state,Guam,GU,,
53,,state,Northern Mariana Islands,MP,,
54,,state,Puerto Rico,PR,,
55,,state,U.S. Virgin Islands,VI,,
56,,state,Washington DC,DC,,
57,,county,Autauga County,AL,01001,
58,,county,Baldwin County,AL,01003,
59,,county,Barbour County,AL,01005,
60,,county,Bibb County,AL,01007,
61,,county,Blount County,AL,01009,
62,,county,Bullock County,AL,01011,
63,,county,Butler County,AL,01013,
64,,county,Calhoun County,AL,01015,
65,,county,Chambers County,AL,01017,
66,,county,Cherokee County,AL,01019,
67,,county,Chilton County,AL,01021,
68,,county,Choctaw County,AL,01023,
69,,county,Clarke County,AL,01025,
70,,county,Clay County,AL,01027,
71,,county,Cleburne County,AL,01029,
72,,county,Coffee County,AL,01031,
73,,county,Colbert County,AL,01033,
74,,county,Conecuh County,AL,01035,
75,,county,Coosa County,AL,01037,
76,,county,Covington County,AL,01039,
77,,county,Crenshaw County,AL,01041,
78,,county,Cullman County,AL,01043,
79,,county,Dale County,AL,01045,
80,,county,Dallas County,AL,01047,
81,,county,DeKalb County,AL,01049,
82,,county,Elmore County,AL,01051,
83,,county,Escambia County,AL,01053,
84,,county,Etowah County,AL,01055,
85,,county,Fayette County,AL,01057,
86,,county,Franklin County,AL,01059,
87,,county,Geneva County,AL,01061,
88,,county,Greene County,AL,01063,
89,,county,Hale County,AL,01065,
90,,county,Henry County,AL,01067,
91,,county,Houston County,AL,01069,
92,,county,Jackson County,AL,01071,
93,,county,Jefferson County,AL,01073,
94,,county,Lamar County,AL,01075,
95,,county,Lauderdale County,AL,01077,
96,,county,Lawrence County,AL,01079,
97,,county,Lee County,AL,01081,
98,,county,Limestone County,AL,01083,
99,,county,Lowndes County,AL,01085,
100,,county,Macon County,AL,01087,
101,,county,Madison County,AL,01089,
102,,county,Marengo County,AL,01091,
103,,county,Marion County,AL,01093,
104,,county,Marshall County,AL,01095,
105,,county,Mobile County,AL,01097,
106,,county,Monroe County,AL,01099,
107,,county,Montgomery County,AL,01101,
108,,county,Morgan County,AL,01103,
109,,county,Perry County,AL,01105,
110,,county,Pickens County,AL,01107,
111,,county,Pike County,AL,01109,
112,,county,Randolph County,AL,01111,
113,,county,Russell County,AL,01113,
114,,county,St. Clair County,AL,01115,
115,,county,Shelby County,AL,01117,
116,,county,Sumter County,AL,01119,
117,,county,Talladega County,AL,01121,
118,,county,Tallapoosa County,AL,01123,
119,,county,Tuscaloosa County,AL,01125,
120,,county,Walker County,AL,01127,
121,,county,Washington County,AL,01129,
122,,county,Wilcox County,AL,01131,
123,,county,Winston County,AL,01133,
124,,county,Aleutians East Borough,AK,02013,
125,,county,Aleutians West Census Area,AK,02016,
126,,county,Anchorage Municipality,AK,02020,
127,,county,Bethel Census Area,AK,02050,
128,,county,Bristol Bay Borough,AK,02060,
129,,county,Chugach Census Area,AK,02063,
130,,county,Copper River Census Area,AK,02066,
131,,county,Denali Borough,AK,02068,
132,,county,Dillingham Census Area,AK,02070,
133,,county,Fairbanks North Star Borough,AK,02090,
134,,county,Haines Borough,AK,02100,
135,,county,Hoonah-Angoon Census Area,AK,02105,
136,,county,Juneau City and Borough,AK,02110,
137,,county,Kenai Peninsula Borough,AK,02122,
138,,county,Ketchikan Gateway Borough,AK,02130,
139,,county,Kodiak Island Borough,AK,02150,
140,,county,Kusilvak Census Area,AK,02158,
141,,county,Lake and Peninsula Borough,AK,02164,
142,,county,Matanuska-Susitna Borough,AK,02170,
143,,county,Nome Census Area,AK,02180,
144,,county,North Slope Borough,AK,02185,
145,,county,Northwest Arctic Borough,AK,02188,
146,,county,Petersburg Borough,AK,02195,
147,,county,Prince of Wales-Hyder Census Area,AK,02198,
148,,county,Sitka City and Borough,AK,02220,
149,,county,Skagway Municipality,AK,02230,
150,,county,Southeast Fairbanks Census Area,AK,02240,
151,,county,Wrangell City and Borough,AK,02275,
152,,county,Yakutat City and Borough,AK,02282,
153,,county,Yukon-Koyukuk Census Area,AK,02290,
154,,county,Apache County,AZ,04001,
155,,county,Cochise County,AZ,04003,
156,,county,Coconino County,AZ,04005,
157,,county,Gila County,AZ,04007,
158,,county,Graham County,AZ,04009,
159,,county,Greenlee County,AZ,04011,
160,,county,La Paz County,AZ,04012,
161,,county,Maricopa County,AZ,04013,
162,,county,Mohave County,AZ,04015,
163,,county,Navajo County,AZ,04017,
164,,county,Pima County,AZ,04019,
165,,county,Pinal County,AZ,04021,
166,,county,Santa Cruz County,AZ,04023,
167,,county,Yavapai County,AZ,04025,
168,,county,Yuma County,AZ,04027,
169,,county,Arkansas County,AR,05001,
170,,county,Ashley County,AR,05003,
171,,county,Baxter County,AR,05005,
172,,county,Benton County,AR,05007,
173,,county,Boone County,AR,05009,
174,,county,Bradley County,AR,05011,
175,,county,Calhoun County,AR,05013,
176,,county,Carroll County,AR,05015,
177,,county,Chicot County,AR,05017,
178,,county,Clark County,AR,05019,
179,,county,Clay County,AR,05021,
180,,county,Cleburne County,AR,05023,
181,,county,Cleveland County,AR,05025,
182,,county,Columbia County,AR,05027,
183,,county,Conway County,AR,05029,
184,,county,Craighead County,AR,05031,
185,,county,Crawford County,AR,05033,
186,,county,Crittenden County,AR,05035,
187,,county,Cross County,AR,05037,
188,,county,Dallas County,AR,05039,
189,,county,Desha County,AR,05041,
190,,county,Drew County,AR,05043,
191,,county,Faulkner County,AR,05045,
192,,county,Franklin County,AR,05047,
193,,county,Fulton County,AR,05049,
194,,county,Garland County,AR,05051,
195,,county,Grant County,AR,05053,
196,,county,Greene County,AR,05055,
197,,county,Hempstead County,AR,05057,
198,,county,Hot Spring County,AR,05059,
199,,county,Howard County,AR,05061,
200,,county,Independence County,AR,05063,
201,,county,Izard County,AR,05065,
202,,county,Jackson County,AR,05067,
203,,county,Jefferson County,AR,05069,
204,,county,Johnson County,AR,05071,
205,,county,Lafayette County,AR,05073,
206,,county,Lawrence County,AR,05075,
207,,county,Lee County,AR,05077,
208,,county,Lincoln County,AR,05079,
209,,county,Little River County,AR,05081,
210,,county,Logan County,AR,05083,
211,,county,Lonoke County,AR,05085,
212,,county,Madison County,AR,05087,
213,,county,Marion County,AR,05089,
214,,county,Miller County,AR,05091,
215,,county,Mississippi County,AR,05093,
216,,county,Monroe County,AR,05095,
217,,county,Montgomery County,AR,05097,
218,,county,Nevada County,AR,05099,
